Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(3),0.012278479,0.000349839,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.083678227,0.107978669,0.992500369,0.970908173,0.096938386,0.123473565,0.937859457,0.372586548,0.108814605,0.14260264,0.92407066,0.430978413
LR-EN(3),0.000102692,0.034504906,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05635755,0.078472185,0.996052628,0.984414035,0.060342371,0.081696409,0.961543314,0.751147232,0.063260475,0.086647468,0.962465016,0.799079403
LR-EN(3),0.000154608,0.037940577,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056382039,0.078473981,0.996052097,0.9844134,0.060388624,0.08173077,0.961563641,0.751065352,0.063323349,0.086703801,0.962455004,0.79889673
LR-EN(3),0.000108557,0.015065213,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.069431615,0.094558021,0.994244905,0.977410999,0.074611133,0.098383138,0.94837237,0.599249607,0.07852656,0.105598114,0.946469969,0.676706168
LR-EN(3),0.000105093,0.066491701,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056360487,0.078472361,0.996052565,0.984413971,0.060348177,0.081700907,0.961545339,0.751133678,0.063268875,0.086655472,0.962463452,0.799051617
LR-EN(3),0.000100118,0.012057952,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355145,0.078472048,0.996052678,0.984414085,0.060337659,0.081692792,0.961541561,0.751157604,0.063253696,0.086641055,0.962466242,0.799101236
LR-EN(3),0.012199165,0.000581457,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.083672057,0.107974589,0.992501245,0.970910167,0.096938461,0.123475711,0.937854135,0.372026338,0.108815432,0.142604709,0.924058496,0.430665397
LR-EN(3),0.00011604,0.073767163,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056366211,0.078472738,0.996052444,0.984413836,0.060359085,0.081709068,0.961550028,0.751113631,0.063283976,0.086669142,0.962460988,0.799006833
LR-EN(3),0.000108602,0.011626874,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056358918,0.07847227,0.9960526,0.984414007,0.060344785,0.081698048,0.961544872,0.751145959,0.063263376,0.086649687,0.96246477,0.799073558
LR-EN(3),0.000100623,0.004082434,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056354937,0.078472037,0.996052682,0.98441409,0.060337204,0.081692408,0.961541498,0.751159272,0.063252961,0.086640278,0.962466417,0.7991042
LR-EN(3),0.000100231,0.002564122,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056354682,0.078472023,0.996052688,0.984414095,0.060336714,0.081692037,0.961541294,0.751160245,0.063252267,0.086639636,0.962466534,0.799106342
LR-EN(4),0.000194102,0.705600682,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.056113272,0.078275665,0.996068182,0.984481345,0.060236943,0.081671356,0.96171461,0.752980071,0.063068011,0.086472624,0.962834585,0.80191159
LR-EN(4),0.000110669,0.437266735,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055958905,0.077527292,0.99614076,0.984760449,0.060019159,0.080928052,0.962003846,0.754722702,0.06301917,0.085962578,0.963064194,0.801712359
LR-EN(4),0.000211976,0.032356002,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05628674,0.078414318,0.996056526,0.984432309,0.060350174,0.081712275,0.961614991,0.752268075,0.063256294,0.086642416,0.962628547,0.800552592
LR-EN(4),0.000146479,0.199810052,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.056017345,0.078263658,0.99607054,0.984485839,0.060059583,0.081537977,0.961659977,0.753366635,0.062821728,0.086240226,0.962885607,0.802789365
LR-EN(4),0.000112182,0.010768417,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055986946,0.078261368,0.99607113,0.984486646,0.060009905,0.081504109,0.961628143,0.753441225,0.062754125,0.086185748,0.962889719,0.803039539
LR-EN(4),0.000105657,0.037115341,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055984614,0.078261258,0.996071182,0.984486685,0.060005406,0.081500799,0.961626682,0.75343912,0.062746509,0.086177652,0.962891693,0.803048987
LR-EN(4),0.000109011,0.00053696,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.05593416,0.077525206,0.996141382,0.984761234,0.059964634,0.080882372,0.961988292,0.754876177,0.06294157,0.08588122,0.963083143,0.802006569
LR-EN(4),0.000814742,0.028026453,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.066406717,0.089274793,0.994898891,0.97994759,0.071917386,0.094618029,0.952213629,0.645452732,0.077146452,0.102859216,0.949492339,0.699988948
LR-EN(4),0.000262032,0.429152893,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.056376385,0.078428537,0.996053992,0.984427017,0.060519904,0.081844904,0.961661387,0.751744555,0.063489389,0.086869242,0.962562575,0.799519687
LR-EN(4),0.000100176,0.004363541,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055930563,0.077524986,0.996141456,0.98476131,0.059957567,0.080877023,0.961984811,0.75488593,0.062932667,0.085873051,0.963084579,0.802032946
LR-EN(4),0.001832994,0.102379152,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.057448428,0.078753067,0.996015214,0.984314666,0.063030617,0.083771767,0.962045585,0.743451868,0.0674646,0.090319158,0.961358076,0.788888666
LR-EN(4),0.000119626,0.164353868,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055997894,0.078262165,0.996070938,0.984486374,0.06002512,0.081512981,0.961643833,0.75340758,0.062773493,0.086196935,0.962892236,0.80293274
LR-EN(4),0.000100407,0.113239533,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.066148734,0.089219816,0.99490892,0.97996952,0.071491983,0.094194898,0.951901298,0.644348125,0.076526626,0.102176298,0.949569888,0.701694962
LR-EN(4),0.000173426,0.10305104,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.056274419,0.07841302,0.99605681,0.984432754,0.060327478,0.081695676,0.961603577,0.752283152,0.063228727,0.086618694,0.96263228,0.800615078
LR-EN(4),0.000144082,0.190589924,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05601498,0.07826346,0.996070589,0.984485911,0.06005533,0.081534896,0.961658175,0.753372939,0.062815696,0.086234705,0.962886566,0.802808358
LR-EN(5),0.000361611,0.194665496,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.056151971,0.078274161,0.996068311,0.984484168,0.060365455,0.081787772,0.961717802,0.752803881,0.063212095,0.086589458,0.962784414,0.801454647
LR-EN(5),0.000250172,0.337518825,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.05610227,0.078265122,0.996069733,0.984487334,0.060279799,0.081723135,0.961682636,0.752932861,0.063100756,0.086491094,0.962805064,0.80179116
