Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(4),65,4,35,289,0.004484194,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.04106342,0.056612348,0.997909993,0.991802447,0.048337674,0.065355189,0.983210436,0.930167504,0.054709299,0.069812689,0.980548811,0.920592245
NN(4),42,2,44,120,0.003315279,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.041810288,0.055790295,0.998036689,0.9921762,0.047871668,0.063788805,0.984519362,0.934079304,0.051866929,0.066093142,0.980740203,0.918430935
NN(4),111,3,38,291,0.006639098,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.041918385,0.057615083,0.997837437,0.991506775,0.049425044,0.06704457,0.981333,0.918334405,0.061449059,0.076241721,0.962679597,0.84874733
NN(4),59,2,47,91,0.002459385,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.042087383,0.056936937,0.997959824,0.991761225,0.048916804,0.066852681,0.980028429,0.913020431,0.047714068,0.063075046,0.985974057,0.943501453
NN(4),44,4,49,226,0.006461794,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.03973816,0.053985821,0.99813464,0.992538026,0.04755331,0.062225119,0.984921763,0.939819177,0.054460637,0.067251464,0.974409927,0.902535362
NN(4),33,2,46,620,0.023348952,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.042122129,0.05799681,0.997848575,0.99151626,0.049648585,0.06677716,0.981965551,0.926996049,0.058284378,0.074482375,0.959422112,0.845788147
NN(4),156,2,45,377,0.025192401,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.041346569,0.056878553,0.997919102,0.991777345,0.047698557,0.064339577,0.984678973,0.937668655,0.04858068,0.063811035,0.985456907,0.939120738
NN(4),98,2,38,520,0.018259546,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.046087948,0.061324475,0.99758773,0.990374827,0.055568413,0.072062354,0.979001957,0.909436851,0.05574163,0.070051067,0.984586274,0.934156728
NN(4),131,2,35,371,0.023729749,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.041125735,0.055992636,0.997982921,0.99207086,0.047150579,0.06243246,0.986311381,0.943590695,0.053353205,0.067365682,0.979747637,0.918031506
NN(4),87,2,15,87,0.072172615,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.043960249,0.058508657,0.997820046,0.991358467,0.052086092,0.068193287,0.980080445,0.910320644,0.051143386,0.064365435,0.982581483,0.931739782
NN(4),163,3,49,373,0.01774087,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.041122757,0.056181145,0.997931188,0.991845197,0.048275527,0.065531212,0.984944045,0.939199406,0.062708903,0.076967315,0.95829508,0.834472344
NN(4),112,2,46,179,0.003751757,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.040251258,0.054574696,0.998083357,0.992356659,0.047289391,0.062521175,0.98525598,0.936902653,0.054182081,0.069956382,0.974576083,0.89701057
NN(4),53,3,44,290,0.009475943,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.039606139,0.054670721,0.998097421,0.99240435,0.04720751,0.063167259,0.986193725,0.94580443,0.052540914,0.066742924,0.9788775,0.920474327
NN(4),195,2,45,389,0.024252996,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.042269304,0.057363666,0.997933138,0.991732225,0.048319621,0.065093627,0.98255798,0.92751463,0.05481392,0.068998638,0.97270439,0.899896666
NN(5),122,4,45,782,0.009798502,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.040028343,0.054699251,0.998078514,0.992355346,0.047511477,0.063870045,0.983321036,0.934212091,0.053734763,0.067372652,0.979246858,0.920590728
NN(5),104,3,39,673,0.027684004,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.042034194,0.05735031,0.997789807,0.991404801,0.04692743,0.063224339,0.984014931,0.938785731,0.05924875,0.073493968,0.972764214,0.89812148
NN(5),24,2,37,364,0.032501792,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.041491465,0.056319843,0.997988287,0.991894875,0.048707689,0.065659824,0.982416744,0.927106382,0.053074987,0.067038346,0.977690205,0.919453071
NN(5),179,3,43,803,0.02065644,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.042363905,0.057117816,0.997891024,0.991684634,0.051480991,0.069270401,0.97685409,0.916082835,0.057911601,0.073276153,0.969629046,0.880560268
NN(5),101,2,30,268,0.009855186,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.040967951,0.055455537,0.998035229,0.992110963,0.047683275,0.065349258,0.982230833,0.927107669,0.04530055,0.059532375,0.989470702,0.957965591
NN(5),185,4,33,427,0.032743277,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.043166084,0.05736025,0.997890919,0.991614142,0.050395379,0.067347857,0.982238553,0.927743295,0.057877177,0.072388328,0.973588007,0.892854649
NN(5),153,2,42,19,0.003240798,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.040554897,0.055170912,0.99796181,0.991959102,0.052099013,0.067548045,0.983174758,0.931304928,0.059332041,0.073081725,0.973360006,0.897703688
NN(5),194,3,38,499,0.015033185,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.040168539,0.054295733,0.998090717,0.992436887,0.049611434,0.06531576,0.982078081,0.931439263,0.060963095,0.075822733,0.954070139,0.843322849
NN(5),48,3,42,356,0.022963755,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.042747814,0.057490305,0.997876954,0.991508421,0.04799713,0.063294777,0.984141306,0.937684605,0.064725065,0.078214118,0.963204902,0.856920349
NN(5),183,2,19,158,0.026827706,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.043364265,0.05816005,0.997819338,0.99112019,0.052397764,0.069755423,0.976135131,0.890974766,0.053889812,0.069954325,0.983115342,0.92511425
NN(5),63,2,45,388,0.023944474,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.040245263,0.054884507,0.998069971,0.992286821,0.047848834,0.064299435,0.983065679,0.931798175,0.044378083,0.059120746,0.988807777,0.954758299
NN(5),75,3,48,414,0.012045305,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.055472397,0.073498844,0.996219754,0.985868216,0.046953484,0.062420499,0.984400055,0.937966374,0.060877975,0.075475795,0.975835804,0.907879482
NN(5),106,2,37,356,0.022619096,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.04125054,0.055386636,0.997983508,0.9920523,0.046488566,0.062211249,0.98463202,0.937222226,0.051922077,0.065716843,0.982601498,0.936339233
NN(5),94,3,38,477,0.027088122,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.042103957,0.057010182,0.997944864,0.991820726,0.048301068,0.064923635,0.983367384,0.932719265,0.055016393,0.069102336,0.975103926,0.908493864
NN(5),46,4,37,485,0.014142256,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.039037774,0.052802476,0.998205181,0.992847815,0.046859884,0.061683901,0.985296633,0.942268684,0.056723952,0.07094648,0.967568693,0.894784798
NN(7),81,4,29,460,0.027548968,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.037657439,0.049944555,0.998361609,0.993524365,0.046763856,0.060990431,0.984849676,0.936970365,0.061791528,0.074513922,0.966572665,0.868592469
NN(7),157,4,12,117,0.011603029,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.042595903,0.057131982,0.997815183,0.99149612,0.054161131,0.07020398,0.9803139,0.922003392,0.068401081,0.081988534,0.945916965,0.807569268
NN(7),199,2,13,144,0.043373377,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0.04251316,0.056799647,0.997873219,0.991420824,0.052165355,0.068579494,0.976375071,0.901817206,0.060732034,0.075272399,0.97197469,0.888961106
NN(7),41,3,34,372,0.017424044,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.040127746,0.053256157,0.998205429,0.992825307,0.048338865,0.062644001,0.984536484,0.937546287,0.055425115,0.0699146,0.977035978,0.91510784
NN(7),37,2,44,253,0.019851095,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.03622426,0.048337571,0.998485529,0.993975717,0.046544397,0.060397625,0.985170886,0.938673685,0.050865601,0.064242823,0.978298388,0.914213418
NN(7),162,2,43,140,0.028668287,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.039340894,0.052409202,0.998255456,0.993010423,0.049692434,0.064144697,0.983691663,0.93494221,0.043706445,0.056458943,0.989380957,0.959872969
NN(7),174,3,39,527,0.023343875,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.041524301,0.055832214,0.99805339,0.992244135,0.048178698,0.06361599,0.984900596,0.94035461,0.052407361,0.066756998,0.982628044,0.931335941
NN(7),78,2,12,288,0.064130778,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.047699163,0.061913603,0.997369071,0.989715841,0.048978028,0.06466569,0.979012082,0.906736204,0.056193312,0.0742945,0.966650436,0.828163346
