Algorithm,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
RF(7),159,15,6,3,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.02016517,0.000821533,0.999469661,0.997889149,0.065181652,0.083108241,0.9796839,0.916435708,0.073034769,0.00839462,0.960399532,0.847403209
RF(7),78,19,4,3,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.020653606,0.000853678,0.999450094,0.997811224,0.066682803,0.084405804,0.978908956,0.913693404,0.070947755,0.007857733,0.965167408,0.863986736
RF(7),282,12,4,3,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0.021896731,0.00092771,0.999403383,0.997626332,0.065777234,0.084422659,0.978310202,0.910280671,0.07148347,0.007994026,0.965680367,0.863522034
RF(7),148,12,13,3,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0.026636587,0.001363467,0.99911739,0.996492521,0.067015496,0.085912806,0.977590946,0.906982128,0.07353718,0.008724866,0.963868754,0.855562721
RF(7),225,18,3,3,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.019607121,0.00077627,0.999498905,0.998005171,0.064832473,0.082425933,0.980105584,0.918293585,0.072615948,0.008341495,0.959972155,0.844795116
RF(7),267,19,11,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.023352414,0.001069311,0.999308297,0.997248998,0.065892321,0.08381215,0.979276192,0.914718412,0.07400452,0.008716651,0.959565491,0.843895325
RF(7),299,18,2,2,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.015926637,0.000521512,0.999663053,0.998657626,0.064634386,0.082142964,0.980186558,0.91887527,0.072478315,0.008331668,0.960175587,0.846238167
RF(7),282,12,2,2,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0.019970316,0.000759283,0.999512697,0.998060103,0.065696757,0.084330153,0.978841072,0.912241793,0.071285397,0.007913308,0.964851948,0.860625784
RF(7),196,18,6,6,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.027731326,0.001505885,0.999025456,0.996128029,0.066350866,0.084489921,0.978892221,0.912598222,0.075131827,0.009025586,0.957953511,0.836055529
RF(7),160,14,7,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.020028142,0.000794719,0.999488151,0.997962612,0.065838992,0.083787839,0.97885871,0.913855452,0.071361805,0.008045125,0.964465635,0.862186038
RF(7),278,13,4,3,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.020402855,0.000822635,0.999469211,0.997887304,0.064893674,0.082456777,0.980052103,0.918074181,0.072713886,0.008416635,0.960362071,0.845934614
RF(7),136,18,5,2,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.017138397,0.00060358,0.999610668,0.998449232,0.064922049,0.08348076,0.978966412,0.912436319,0.071914224,0.00803424,0.963817785,0.857148103
RF(10),206,17,5,3,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.018577694,0.000708639,0.999542094,0.99817687,0.066134146,0.084831778,0.977936497,0.908284288,0.072768848,0.008457736,0.964761621,0.859144827
