Algorithm,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
DT(3),14,7,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072691874,0.096332871,0.97244706,0.886472149,0.078288033,0.009869685,0.961733612,0.847436962
DT(3),14,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.07255774,0.096090035,0.972545372,0.886921883,0.078468285,0.009926127,0.96154036,0.846246246
DT(3),14,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072628998,0.096217614,0.972482152,0.88662398,0.078511931,0.009940391,0.96152239,0.846160283
DT(3),14,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072676279,0.096267415,0.972473634,0.886571871,0.07834147,0.009890636,0.961707274,0.847317566
DT(3),18,9,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030501642,0.001843319,0.99882196,0.995305908,0.072713111,0.096323616,0.972477606,0.886598682,0.078329517,0.009885672,0.961602554,0.846548897
DT(3),18,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030501642,0.001843319,0.99882196,0.995305908,0.072657411,0.096250712,0.972468012,0.886577445,0.078320683,0.009884144,0.961716111,0.847393577
DT(3),14,5,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072653525,0.096234983,0.972505934,0.886743137,0.07851862,0.009938206,0.961524929,0.846165031
DT(3),16,10,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030525086,0.001845298,0.99882087,0.995301578,0.072601067,0.096129891,0.972521828,0.886820341,0.078439285,0.009919426,0.961550358,0.846328197
DT(3),19,6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030499727,0.001843235,0.99882201,0.995306107,0.07263773,0.096158807,0.972522973,0.886816998,0.078322841,0.009881167,0.961719622,0.847402729
DT(3),16,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030525086,0.001845298,0.99882087,0.995301578,0.072561671,0.096060321,0.972560992,0.886976763,0.078495819,0.009937914,0.961526858,0.84621497
DT(3),14,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072616948,0.096201012,0.972492163,0.886680068,0.078361471,0.009890762,0.961594265,0.846468043
DT(3),9,8,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.047135596,0.004055312,0.997396895,0.989675189,0.078017794,0.099585961,0.971989549,0.880237804,0.084020999,0.011204019,0.959439681,0.834357503
DT(4),14,5,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030022699,0.001743599,0.998882884,0.995547806,0.074826477,0.09703161,0.973112596,0.887588083,0.079818871,0.010112843,0.963241152,0.850552432
DT(4),18,7,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.02979121,0.001725376,0.998893419,0.995589652,0.075033266,0.097390222,0.972897262,0.886809288,0.079784319,0.010092676,0.963325662,0.851020427
DT(4),13,9,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030406684,0.001781703,0.998859833,0.99545626,0.074962527,0.097274263,0.972986378,0.887249694,0.079712309,0.010092394,0.963302057,0.85130778
DT(4),13,2,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030406684,0.001781703,0.998859833,0.99545626,0.074879208,0.097138097,0.973048503,0.887441482,0.079841342,0.010118062,0.963236146,0.850516827
DT(4),15,4,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.029878482,0.001731924,0.998889952,0.99557587,0.074938563,0.097238759,0.972971701,0.887027914,0.079751231,0.010088245,0.963369744,0.851700467
DT(4),14,6,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030022699,0.001743599,0.998882884,0.995547806,0.074929596,0.097263243,0.972948126,0.887008649,0.079686017,0.01006618,0.963340884,0.85151462
DT(4),14,7,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030022699,0.001743599,0.998882884,0.995547806,0.074922878,0.097225081,0.972955084,0.886925955,0.079731182,0.010080765,0.96334207,0.85109055
DT(4),15,6,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.029878482,0.001731924,0.998889952,0.99557587,0.074961091,0.097270095,0.972945105,0.886903406,0.079707576,0.01008212,0.963315586,0.851392889
DT(4),19,3,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.02979033,0.001725358,0.998893431,0.995589701,0.074885592,0.097113962,0.973049564,0.887389552,0.079651061,0.010051422,0.963419772,0.851933236
DT(4),17,3,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.029793734,0.00172569,0.99889327,0.995589059,0.074928505,0.097191856,0.972991777,0.887112179,0.079763644,0.010081003,0.963282001,0.850761553
DT(4),16,7,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.029825439,0.001727424,0.998892382,0.99558553,0.074935147,0.097239033,0.97297064,0.887002062,0.079726532,0.010073197,0.963354594,0.851150585
DT(4),13,8,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.030406684,0.001781703,0.998859833,0.99545626,0.074919014,0.097206113,0.972983578,0.887045833,0.079859346,0.010147251,0.963277731,0.851294437
DT(4),16,4,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.029825439,0.001727424,0.998892382,0.99558553,0.074942192,0.097206216,0.973027113,0.887404028,0.079844363,0.010106498,0.963245819,0.850602801
DT(4),19,3,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.032327554,0.002048354,0.998693401,0.994795738,0.075151008,0.099015808,0.971566827,0.881929472,0.083227989,0.011018251,0.952704123,0.811351795
DT(4),15,9,6,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.032497934,0.002025079,0.998704962,0.994841595,0.075443394,0.097630368,0.973039023,0.887164508,0.080803902,0.010374946,0.961438903,0.841254093
DT(5),13,6,5,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.029533867,0.001690147,0.998921758,0.995702119,0.075742317,0.096937313,0.97357159,0.890814525,0.084708769,0.011618026,0.952682852,0.815060913
