Algorithm,epsilon,C,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
SVR(4),0.0127378,2.2419973,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.05559668,0.079413631,0.995990546,0.984000185,0.058833686,0.08053075,0.960269948,0.736935948,0.058954726,0.081711552,0.964589677,0.812390379
SVR(4),0.015455493,1.698403753,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055166224,0.078295411,0.996082145,0.984415282,0.058245123,0.079545718,0.961188092,0.746141356,0.05927308,0.082032918,0.963506723,0.803808914
SVR(4),0.012440724,1.533275876,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055134031,0.078510667,0.996077309,0.984312657,0.058053139,0.079331891,0.96132617,0.749144515,0.059097114,0.081886102,0.963177095,0.801582675
SVR(4),0.011251304,2.051551842,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.055484182,0.0793666,0.995988076,0.984009219,0.058395735,0.080109783,0.960590367,0.743628659,0.059795801,0.083126063,0.963019679,0.802861153
SVR(4),0.011157843,1.643611107,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055137442,0.079263024,0.995994696,0.984049631,0.057895106,0.079813488,0.960697396,0.745646937,0.058244038,0.081361086,0.964393604,0.814736999
SVR(4),0.012305495,1.172093221,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.065139953,0.090380425,0.994816804,0.979391805,0.069045289,0.092164408,0.951027214,0.621177804,0.071732343,0.096899609,0.95055093,0.701376475
SVR(4),0.012647433,1.950622804,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055205278,0.079213995,0.995966824,0.984052466,0.058442209,0.080353403,0.960293928,0.742209599,0.060102763,0.083586724,0.963412103,0.808347268
SVR(4),0.010586315,2.266241316,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055414038,0.079426342,0.995965649,0.984013865,0.058130154,0.079901173,0.960641,0.743031548,0.060608268,0.084252762,0.962304476,0.799413246
SVR(4),0.015419076,0.665510429,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.055399844,0.079233753,0.995991215,0.984062886,0.058173391,0.079846418,0.960873041,0.746403511,0.059875963,0.083237118,0.962868744,0.802058017
SVR(4),0.016088821,2.096403035,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.055505527,0.079418172,0.99597526,0.983995315,0.058510795,0.080118812,0.960881583,0.746832239,0.059565022,0.082842164,0.962904598,0.801681209
SVR(4),0.014980928,1.788752611,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.05508368,0.078534253,0.996065144,0.984308468,0.058235927,0.079438962,0.960977645,0.743448031,0.058921466,0.081680052,0.964166698,0.809000713
SVR(4),0.013585128,0.777038575,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055101035,0.079143253,0.995999437,0.984099604,0.057916466,0.079819212,0.960664811,0.744371341,0.059308782,0.082759608,0.963175683,0.805463825
SVR(4),0.020480312,1.414094105,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055221239,0.079093102,0.996000037,0.984127621,0.057975306,0.07980251,0.961010738,0.748102209,0.059953369,0.083498308,0.962735706,0.801808135
