Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(7),0.000111136,0.257842255,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.054888652,0.005963497,0.99621184,0.985035722,0.059035574,0.080186756,0.961171343,0.753278849,0.061853086,0.007809984,0.962648043,0.803556789
LR-EN(7),0.000509128,0.605265848,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.054082149,0.005629917,0.99641879,0.985862881,0.058198459,0.078133333,0.961974976,0.757546723,0.061776685,0.007690135,0.962863997,0.801632323
LR-EN(7),0.000253619,0.111096841,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0.053861321,0.005612881,0.99643345,0.985905685,0.057880551,0.077769424,0.961462687,0.756692167,0.061382214,0.007613625,0.962651741,0.801866118
LR-EN(7),0.000147566,0.219481075,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.054793988,0.00588226,0.99627509,0.985281601,0.059818575,0.080614154,0.961318387,0.751467049,0.063696543,0.008067484,0.96160857,0.798386149
LR-EN(7),0.000128826,0.217714511,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.054217066,0.005788542,0.996325264,0.985479285,0.058299772,0.07895729,0.96097238,0.754246181,0.061328022,0.007702492,0.962530008,0.803091099
LR-EN(7),0.000856335,0.604564759,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.055695416,0.006007833,0.996175476,0.984925258,0.060626945,0.081484144,0.961990605,0.750274979,0.064342195,0.008232411,0.962133422,0.796852832
LR-EN(7),0.000367866,0.213735499,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0.054596074,0.005820901,0.996302472,0.985397717,0.059028023,0.079635009,0.961015754,0.751686813,0.061932302,0.007809935,0.96237927,0.800890131
LR-EN(7),0.000173648,0.203406181,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.054308017,0.005802076,0.996317138,0.985449772,0.058377023,0.079007601,0.960883492,0.75231725,0.061332719,0.007707629,0.962496659,0.802854036
LR-EN(7),0.00114166,0.293128484,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0.054995818,0.005838172,0.996286528,0.985357747,0.059666682,0.08015494,0.96176769,0.752160956,0.063629461,0.008084547,0.962027284,0.797074087
LR-EN(7),0.000329376,0.301768008,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.054201685,0.005716966,0.996370754,0.985664191,0.058846578,0.079193929,0.961378531,0.746197472,0.062526324,0.008057817,0.961446786,0.787289089
